question_text,difficulty,option1,option2,option3,option4,correct_option
What is the capital of France?,Easy,Paris,London,Berlin,Madrid,1
What is 2 + 2?,Easy,3,4,5,6,2
Who wrote 'Romeo and Juliet'?,Medium,William Wordsworth,William Shakespeare,Jane Austen,Mark Twain,2
What is the chemical symbol for water?,Easy,H2O,CO2,O2,N2,1
Which planet is known as the Red Planet?,Easy,Mars,Jupiter,Saturn,Venus,1
What is the largest mammal?,Easy,Elephant,Blue Whale,Giraffe,Hippopotamus,2
What year did World War II end?,Medium,1941,1942,1945,1950,3
What is the square root of 81?,Easy,7,8,9,10,3
Who painted the Mona Lisa?,Medium,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,1
What is the smallest prime number?,Easy,1,2,3,4,2
Who discovered penicillin?,Medium,Marie Curie,Alexander Fleming,Albert Einstein,Isaac Newton,2
What is the currency of Japan?,Easy,Dollar,Euro,Yen,Pound,3
Who is known as the Father of Computers?,Medium,Charles Babbage,Alan Turing,John von Neumann,Steve Jobs,1
What is the powerhouse of the cell?,Easy,Nucleus,Chloroplast,Mitochondria,Ribosome,3
What is the national animal of India?,Easy,Lion,Tiger,Elephant,Peacock,2
Who developed the theory of relativity?,Medium,Nikola Tesla,Albert Einstein,Galileo Galilei,Stephen Hawking,2
What is the boiling point of water at sea level?,Easy,90째C,100째C,110째C,120째C,2
Who was the first President of the United States?,Easy,Thomas Jefferson,Abraham Lincoln,George Washington,John Adams,3
What is the hardest natural substance on Earth?,Medium,Gold,Iron,Diamond,Platinum,3
